date,Cases
05/03/2021,4288803
04/03/2021,4283336
03/03/2021,4277399
02/03/2021,4271227
01/03/2021,4264308
28/02/2021,4257116
27/02/2021,4252243
26/02/2021,4247294
25/02/2021,4240511
24/02/2021,4232486
23/02/2021,4223640
22/02/2021,4213877
21/02/2021,4202221
20/02/2021,4194124
19/02/2021,4185811
18/02/2021,4175083
17/02/2021,4163289
16/02/2021,4151347
15/02/2021,4138406
14/02/2021,4123671
13/02/2021,4114677
12/02/2021,4105642
11/02/2021,4093069
10/02/2021,4079930
09/02/2021,4066031
08/02/2021,4051806
07/02/2021,4035612
06/02/2021,4023948
05/02/2021,4011628
04/02/2021,3995320
03/02/2021,3976827
02/02/2021,3956913
01/02/2021,3936647
31/01/2021,3913675
30/01/2021,3897892
29/01/2021,3880725
28/01/2021,3858292
27/01/2021,3833519
26/01/2021,3807216
25/01/2021,3779486
24/01/2021,3748749
23/01/2021,3731195
22/01/2021,3708850
21/01/2021,3678520
20/01/2021,3646018
19/01/2021,3610032
18/01/2021,3569506
17/01/2021,3523548
16/01/2021,3493956
15/01/2021,3462707
14/01/2021,3421256
13/01/2021,3377783
12/01/2021,3331274
11/01/2021,3280627
10/01/2021,3222035
09/01/2021,3184861
08/01/2021,3144826
07/01/2021,3096721
06/01/2021,3043534
05/01/2021,2984750
04/01/2021,2918113
03/01/2021,2840141
02/01/2021,2783806
01/01/2021,2722152
31/12/2020,2689670
30/12/2020,2635724
29/12/2020,2563563
28/12/2020,2480473
27/12/2020,2434064
26/12/2020,2385544
25/12/2020,2344434
24/12/2020,2330015
23/12/2020,2297623
22/12/2020,2254687
21/12/2020,2208212
20/12/2020,2160020
19/12/2020,2126954
18/12/2020,2101364
17/12/2020,2064945
16/12/2020,2030507
15/12/2020,1995080
14/12/2020,1960702
13/12/2020,1925505
12/12/2020,1903239
11/12/2020,1883651
10/12/2020,1859261
09/12/2020,1836345
08/12/2020,1814436
07/12/2020,1793371
06/12/2020,1771786
05/12/2020,1758055
04/12/2020,1745162
03/12/2020,1729328
02/12/2020,1713468
01/12/2020,1696792
30/11/2020,1680108
29/11/2020,1661911
28/11/2020,1651060
27/11/2020,1639974
26/11/2020,1625419
25/11/2020,1610658
24/11/2020,1593845
23/11/2020,1577168
22/11/2020,1558144
21/11/2020,1546249
20/11/2020,1533716
19/11/2020,1516616
18/11/2020,1498575
17/11/2020,1477495
16/11/2020,1454008
15/11/2020,1427057
14/11/2020,1410825
13/11/2020,1392602
12/11/2020,1368213
11/11/2020,1343387
10/11/2020,1315630
09/11/2020,1287841
08/11/2020,1256330
07/11/2020,1236085
06/11/2020,1217319
05/11/2020,1193659
04/11/2020,1169597
03/11/2020,1145570
02/11/2020,1119627
01/11/2020,1087702
31/10/2020,1071732
30/10/2020,1055059
29/10/2020,1032169
28/10/2020,1008555
27/10/2020,984654
26/10/2020,960304
25/10/2020,933497
24/10/2020,917601
23/10/2020,901167
22/10/2020,879473
21/10/2020,855998
20/10/2020,830284
19/10/2020,804671
18/10/2020,778799
17/10/2020,764488
16/10/2020,749606
15/10/2020,731691
14/10/2020,713084
13/10/2020,693164
12/10/2020,674048
11/10/2020,654377
10/10/2020,642175
09/10/2020,629527
08/10/2020,613634
07/10/2020,595209
06/10/2020,576636
05/10/2020,559386
04/10/2020,542633
03/10/2020,530680
02/10/2020,519013
01/10/2020,505159
30/09/2020,491802
29/09/2020,479085
28/09/2020,468719
27/09/2020,458736
26/09/2020,451713
25/09/2020,444903
