Date,Stock,Value
22/01/2018,Amazon,-1.508253599
23/01/2018,Costco,-1.315318339
23/01/2018,T K Maxx,-1.903277161
23/01/2018,Gap,1.675834877
23/01/2018,Etsy,-1.284509019
23/01/2018,Ebay,-0.608279022
23/01/2018,Alibaba,0.279434585
23/01/2018,Amazon,-1.45861742
24/01/2018,Costco,-1.308927361
24/01/2018,T K Maxx,-1.906467735
24/01/2018,Gap,1.602529037
24/01/2018,Etsy,-1.298162715
24/01/2018,Ebay,-0.604545027
24/01/2018,Alibaba,0.338960832
24/01/2018,Amazon,-1.465704156
25/01/2018,Costco,-1.280014075
25/01/2018,T K Maxx,-1.906012364
25/01/2018,Gap,1.564612222
25/01/2018,Etsy,-1.296782004
25/01/2018,Ebay,-0.589610559
25/01/2018,Alibaba,0.390245038
25/01/2018,Amazon,-1.436905958
26/01/2018,Costco,-1.272532413
26/01/2018,T K Maxx,-1.849031437
26/01/2018,Gap,1.598737498
26/01/2018,Etsy,-1.29586151
26/01/2018,Ebay,-0.52464231
26/01/2018,Alibaba,0.516440669
26/01/2018,Amazon,-1.402950935
29/01/2018,Costco,-1.2771303
29/01/2018,T K Maxx,-1.83444505
29/01/2018,Gap,1.627807768
29/01/2018,Etsy,-1.299543426
29/01/2018,Ebay,-0.531363018
29/01/2018,Alibaba,0.475962698
29/01/2018,Amazon,-1.380929466
30/01/2018,Costco,-1.280325917
30/01/2018,T K Maxx,-1.856325189
30/01/2018,Gap,1.540597527
30/01/2018,Etsy,-1.300617306
30/01/2018,Ebay,-0.561232862
30/01/2018,Alibaba,0.414605043
30/01/2018,Amazon,-1.352553927
31/01/2018,Costco,-1.304017887
31/01/2018,T K Maxx,-1.857692418
31/01/2018,Gap,1.395249027
31/01/2018,Etsy,-1.30261165
31/01/2018,Ebay,-0.547792051
31/01/2018,Alibaba,0.499406859
31/01/2018,Amazon,-1.334139247
01/02/2018,Costco,-1.314928537
01/02/2018,T K Maxx,-1.867720629
01/02/2018,Gap,1.34974885
01/02/2018,Etsy,-1.296475173
01/02/2018,Ebay,-0.128858186
01/02/2018,Alibaba,0.278335684
01/02/2018,Amazon,-1.419928447
02/02/2018,Costco,-1.334255737
02/02/2018,T K Maxx,-1.942023148
02/02/2018,Gap,1.249900526
02/02/2018,Etsy,-1.302151403
02/02/2018,Ebay,-0.269995761
02/02/2018,Alibaba,0.188405196
02/02/2018,Amazon,-1.363642163
05/02/2018,Costco,-1.398317622
05/02/2018,T K Maxx,-2.051881825
05/02/2018,Gap,1.056524346
05/02/2018,Etsy,-1.307520832
05/02/2018,Ebay,-0.414121559
05/02/2018,Alibaba,0.064224311
05/02/2018,Amazon,-1.419928447
06/02/2018,Costco,-1.380860455
06/02/2018,T K Maxx,-2.055072772
06/02/2018,Gap,1.258748495
06/02/2018,Etsy,-1.303378728
06/02/2018,Ebay,-0.382757755
06/02/2018,Alibaba,0.149209463
06/02/2018,Amazon,-1.345481164
07/02/2018,Costco,-1.3950443
07/02/2018,T K Maxx,-2.045499559
07/02/2018,Gap,1.316887041
07/02/2018,Etsy,-1.304912826
07/02/2018,Ebay,-0.417108574
07/02/2018,Alibaba,0.060011763
07/02/2018,Amazon,-1.382197658
08/02/2018,Costco,-1.430737985
08/02/2018,T K Maxx,-2.129375291
08/02/2018,Gap,1.133622581
08/02/2018,Etsy,-1.318413105
08/02/2018,Ebay,-0.514933682
08/02/2018,Alibaba,-0.060872418
08/02/2018,Amazon,-1.475580742
09/02/2018,Costco,-1.414294049
09/02/2018,T K Maxx,-2.071026761
09/02/2018,Gap,1.275179257
09/02/2018,Etsy,-1.304606024
09/02/2018,Ebay,-0.467140843
09/02/2018,Alibaba,-0.006474565
09/02/2018,Amazon,-1.490937918
12/02/2018,Costco,-1.411644284
12/02/2018,T K Maxx,-2.067835814
12/02/2018,Gap,1.165220354
12/02/2018,Etsy,-1.30475941
12/02/2018,Ebay,-0.41785495
12/02/2018,Alibaba,0.007628655
12/02/2018,Amazon,-1.425240059
13/02/2018,Costco,-1.387562766
13/02/2018,T K Maxx,-2.075129194
13/02/2018,Gap,1.292874341
13/02/2018,Etsy,-1.292486455
13/02/2018,Ebay,-0.430549989
13/02/2018,Alibaba,0.04078015
13/02/2018,Amazon,-1.385395762
14/02/2018,Costco,-1.362624064
14/02/2018,T K Maxx,-2.014113282
14/02/2018,Gap,1.37881912
14/02/2018,Etsy,-1.284355604
14/02/2018,Ebay,-0.408893906
14/02/2018,Alibaba,0.178331468
14/02/2018,Amazon,-1.333913943
15/02/2018,Costco,-1.326444273
15/02/2018,T K Maxx,-1.949571789
15/02/2018,Gap,1.406624784
15/02/2018,Etsy,-1.286503393
15/02/2018,Ebay,-0.366328721
15/02/2018,Alibaba,0.190969392
15/02/2018,Amazon,-1.318824422
16/02/2018,Costco,-1.325819187
16/02/2018,T K Maxx,-1.954149342
16/02/2018,Gap,1.399041136
16/02/2018,Etsy,-1.268861009
16/02/2018,Ebay,-0.341685623
16/02/2018,Alibaba,0.121918868
16/02/2018,Amazon,-1.337238888
20/02/2018,Costco,-1.352699895
20/02/2018,T K Maxx,-2.023267644
20/02/2018,Gap,1.189234478
20/02/2018,Etsy,-1.26349158
20/02/2018,Ebay,-0.337952233
20/02/2018,Alibaba,0.186207393
20/02/2018,Amazon,-1.309539473
21/02/2018,Costco,-1.371219848
21/02/2018,T K Maxx,-2.047528231
21/02/2018,Gap,1.266331858
21/02/2018,Etsy,-1.261650622
21/02/2018,Ebay,-0.358114959
21/02/2018,Alibaba,0.216062185
21/02/2018,Amazon,-1.289011499
22/02/2018,Costco,-1.364655751
22/02/2018,T K Maxx,-2.021894825
22/02/2018,Gap,1.285290123
22/02/2018,Etsy,-1.2677871
22/02/2018,Ebay,-0.379770438
22/02/2018,Alibaba,0.214779947
22/02/2018,Amazon,-1.285602066
23/02/2018,Costco,-1.339493996
23/02/2018,T K Maxx,-1.950487747
23/02/2018,Gap,1.32573501
23/02/2018,Etsy,-1.267173467
23/02/2018,Ebay,-0.316295546
23/02/2018,Alibaba,0.297933411
23/02/2018,Amazon,-1.264947251
26/02/2018,Costco,-1.316051066
26/02/2018,T K Maxx,-1.909748116
26/02/2018,Gap,1.254957241
26/02/2018,Etsy,-1.266406389
26/02/2018,Ebay,-0.305093863
26/02/2018,Alibaba,0.314417769
26/02/2018,Amazon,-1.234021354
27/02/2018,Costco,-1.337227791
27/02/2018,T K Maxx,-1.980239609
27/02/2018,Gap,1.139941338
27/02/2018,Etsy,-1.2677871
27/02/2018,Ebay,-0.355873716
27/02/2018,Alibaba,0.20580512
27/02/2018,Amazon,-1.248068417
28/02/2018,Costco,-1.330976428
28/02/2018,T K Maxx,-1.734433851
28/02/2018,Gap,1.18544237
28/02/2018,Etsy,-1.202126746
28/02/2018,Ebay,-0.377529497
28/02/2018,Alibaba,0.166975781
28/02/2018,Amazon,-1.247406266
01/03/2018,Costco,-1.345589056
01/03/2018,T K Maxx,-1.72711066
01/03/2018,Gap,1.200609095
01/03/2018,Etsy,-1.201973331
01/03/2018,Ebay,-0.421588643
01/03/2018,Alibaba,0.090965455
01/03/2018,Amazon,-1.274175659
02/03/2018,Costco,-1.343244635
02/03/2018,T K Maxx,-1.690033743
02/03/2018,Gap,1.5140559
02/03/2018,Etsy,-1.195990269
02/03/2018,Ebay,-0.370809092
02/03/2018,Alibaba,0.050121091
02/03/2018,Amazon,-1.264595107
05/03/2018,Costco,-1.326444273
05/03/2018,T K Maxx,-1.681793848
05/03/2018,Gap,1.502681568
05/03/2018,Etsy,-1.200746035
05/03/2018,Ebay,-0.352887004
05/03/2018,Alibaba,0.083822317
05/03/2018,Amazon,-1.231682757
06/03/2018,Costco,-1.326600194
06/03/2018,T K Maxx,-1.656160815
06/03/2018,Gap,1.565875689
06/03/2018,Etsy,-1.196603902
06/03/2018,Ebay,-0.356621301
06/03/2018,Alibaba,0.189504097
06/03/2018,Amazon,-1.211915397
07/03/2018,Costco,-1.358638906
07/03/2018,T K Maxx,-1.736723001
07/03/2018,Gap,1.400304887
07/03/2018,Etsy,-1.190160593
07/03/2018,Ebay,-0.297626477
07/03/2018,Alibaba,0.220274733
07/03/2018,Amazon,-1.201545853
08/03/2018,Costco,-1.371688248
08/03/2018,T K Maxx,-1.735349064
08/03/2018,Gap,1.314359538
08/03/2018,Etsy,-1.185711658
08/03/2018,Ebay,-0.316295546
08/03/2018,Alibaba,0.186024057
08/03/2018,Amazon,-1.191880596
09/03/2018,Costco,-1.349105686
09/03/2018,T K Maxx,-1.734892948
09/03/2018,Gap,1.373762975
09/03/2018,Etsy,-1.161932767
09/03/2018,Ebay,-0.306587521
09/03/2018,Alibaba,0.247748385
09/03/2018,Amazon,-1.153797448
12/03/2018,Costco,-1.342932156
12/03/2018,T K Maxx,-1.74404731
12/03/2018,Gap,1.268859646
12/03/2018,Etsy,-1.161932767
12/03/2018,Ebay,-0.299867116
12/03/2018,Alibaba,0.287859962
12/03/2018,Amazon,-1.126323552
13/03/2018,Costco,-1.357857263
13/03/2018,T K Maxx,-1.751828108
13/03/2018,Gap,1.323206937
13/03/2018,Etsy,-1.162086183
13/03/2018,Ebay,-0.38051772
13/03/2018,Alibaba,0.208552653
13/03/2018,Amazon,-1.140708785
14/03/2018,Costco,-1.379971807
14/03/2018,T K Maxx,-1.77105428
14/03/2018,Gap,1.291610019
14/03/2018,Etsy,-1.155182627
14/03/2018,Ebay,-0.379770438
14/03/2018,Alibaba,0.284562978
14/03/2018,Amazon,-1.136735448
15/03/2018,Costco,-1.373094976
15/03/2018,T K Maxx,-1.795771355
15/03/2018,Gap,1.217040142
15/03/2018,Etsy,-1.155029241
15/03/2018,Ebay,-0.397692223
15/03/2018,Alibaba,0.40361547
15/03/2018,Amazon,-1.148965035
16/03/2018,Costco,-1.370281901
16/03/2018,T K Maxx,-1.792567365
16/03/2018,Gap,1.205664386
16/03/2018,Etsy,-1.156256537
16/03/2018,Ebay,-0.40740055
16/03/2018,Alibaba,0.42596073
16/03/2018,Amazon,-1.163955878
19/03/2018,Costco,-1.383722319
19/03/2018,T K Maxx,-1.793482578
19/03/2018,Gap,1.26759561
19/03/2018,Etsy,-1.163466894
19/03/2018,Ebay,-0.435030662
19/03/2018,Alibaba,0.320645063
19/03/2018,Amazon,-1.20164453
20/03/2018,Costco,-1.358716612
20/03/2018,T K Maxx,-1.772885078
20/03/2018,Gap,1.278970796
20/03/2018,Etsy,-1.156103121
20/03/2018,Ebay,-0.44473778
20/03/2018,Alibaba,0.401600725
20/03/2018,Amazon,-1.143061571
21/03/2018,Costco,-1.368718997
21/03/2018,T K Maxx,-1.725279862
21/03/2018,Gap,1.252429454
21/03/2018,Etsy,-1.146284728
21/03/2018,Ebay,-0.466394769
21/03/2018,Alibaba,0.334748283
21/03/2018,Amazon,-1.149612997
22/03/2018,Costco,-1.395521744
22/03/2018,T K Maxx,-1.811334441
22/03/2018,Gap,1.134886047
22/03/2018,Etsy,-1.161779352
22/03/2018,Ebay,-0.547792051
22/03/2018,Alibaba,0.139685186
22/03/2018,Amazon,-1.201658504
23/03/2018,Costco,-1.409587502
23/03/2018,T K Maxx,-1.862601997
23/03/2018,Gap,1.117192104
23/03/2018,Etsy,-1.18172294
23/03/2018,Ebay,-0.612759695
23/03/2018,Alibaba,0.076495842
23/03/2018,Amazon,-1.271202859
26/03/2018,Costco,-1.359732774
26/03/2018,T K Maxx,-1.808130451
26/03/2018,Gap,1.107080383
26/03/2018,Etsy,-1.170677251
26/03/2018,Ebay,-0.515680662
26/03/2018,Alibaba,0.246832541
26/03/2018,Amazon,-1.186245002
27/03/2018,Costco,-1.391536714
27/03/2018,T K Maxx,-1.836968219
27/03/2018,Gap,1.051468771
27/03/2018,Etsy,-1.166074901
27/03/2018,Ebay,-0.574674277
27/03/2018,Alibaba,0.089133767
27/03/2018,Amazon,-1.269103539
28/03/2018,Costco,-1.387942377
28/03/2018,T K Maxx,-1.825524335
28/03/2018,Gap,1.099497306
28/03/2018,Etsy,-1.162239598
28/03/2018,Ebay,-0.582889549
28/03/2018,Alibaba,0.034552856
28/03/2018,Amazon,-1.361571006
29/03/2018,Costco,-1.350277769
29/03/2018,T K Maxx,-1.78570178
29/03/2018,Gap,1.13741412
29/03/2018,Etsy,-1.159938423
29/03/2018,Ebay,-0.573181223
29/03/2018,Alibaba,0.119354672
29/03/2018,Amazon,-1.339141067
02/04/2018,Costco,-1.394662523
02/04/2018,T K Maxx,-1.83147508
02/04/2018,Gap,1.080538756
02/04/2018,Etsy,-1.161319134
02/04/2018,Ebay,-0.638896451
02/04/2018,Alibaba,0.010742302
02/04/2018,Amazon,-1.445303023
03/04/2018,Costco,-1.395756135
03/04/2018,T K Maxx,-1.750454916
03/04/2018,Gap,1.136149229
03/04/2018,Etsy,-1.163466894
03/04/2018,Ebay,-0.620226174
03/04/2018,Alibaba,-0.043106101
03/04/2018,Amazon,-1.417040135
04/04/2018,Costco,-1.373017016
04/04/2018,T K Maxx,-1.67538587
04/04/2018,Gap,1.223359469
04/04/2018,Etsy,-1.163313478
04/04/2018,Ebay,-0.606785666
04/04/2018,Alibaba,-0.09072693
04/04/2018,Amazon,-1.390946867
05/04/2018,Costco,-1.36731265
05/04/2018,T K Maxx,-1.630069803
05/04/2018,Gap,1.239789946
05/04/2018,Etsy,-1.152574621
05/04/2018,Ebay,-0.588862974
05/04/2018,Alibaba,-0.081569046
05/04/2018,Amazon,-1.332927596
06/04/2018,Costco,-1.385207008
06/04/2018,T K Maxx,-1.699646084
06/04/2018,Gap,1.091913658
06/04/2018,Etsy,-1.166535147
06/04/2018,Ebay,-0.659058574
06/04/2018,Alibaba,-0.174063731
06/04/2018,Amazon,-1.398470666
09/04/2018,Costco,-1.38169076
09/04/2018,T K Maxx,-1.737638586
09/04/2018,Gap,0.994593407
09/04/2018,Etsy,-1.166995365
09/04/2018,Ebay,-0.674740929
09/04/2018,Alibaba,-0.131021843
09/04/2018,Amazon,-1.39727299
10/04/2018,Costco,-1.388411287
10/04/2018,T K Maxx,-1.748624491
10/04/2018,Gap,1.116024665
10/04/2018,Etsy,-1.131710597
10/04/2018,Ebay,-0.621721042
10/04/2018,Alibaba,0.001401361
10/04/2018,Amazon,-1.35480825
11/04/2018,Costco,-1.379815249
11/04/2018,T K Maxx,-1.763271992
11/04/2018,Gap,1.086717602
11/04/2018,Etsy,-1.127108217
11/04/2018,Ebay,-0.603799256
11/04/2018,Alibaba,-0.030468176
11/04/2018,Amazon,-1.367727936
12/04/2018,Costco,-1.347229793
12/04/2018,T K Maxx,-1.741300182
12/04/2018,Gap,1.098185683
12/04/2018,Etsy,-1.121278571
12/04/2018,Ebay,-0.55152514
12/04/2018,Alibaba,-0.020211391
12/04/2018,Amazon,-1.337506543
13/04/2018,Costco,-1.34652662
13/04/2018,T K Maxx,-1.799434068
13/04/2018,Gap,1.023007723
13/04/2018,Etsy,-1.145977926
13/04/2018,Ebay,-0.598572207
13/04/2018,Alibaba,-0.09127666
13/04/2018,Amazon,-1.362458675
16/04/2018,Costco,-1.302220082
16/04/2018,T K Maxx,-1.731688586
16/04/2018,Gap,1.037023537
16/04/2018,Etsy,-1.139534617
16/04/2018,Ebay,-0.576915218
16/04/2018,Alibaba,-0.04255665
16/04/2018,Amazon,-1.347369155
17/04/2018,Costco,-1.291123575
17/04/2018,T K Maxx,-1.699188477
17/04/2018,Gap,1.085443593
17/04/2018,Etsy,-1.125880922
17/04/2018,Ebay,-0.54555111
17/04/2018,Alibaba,0.030706422
17/04/2018,Amazon,-1.259551149
18/04/2018,Costco,-1.287138799
18/04/2018,T K Maxx,-1.711547201
18/04/2018,Gap,0.958024119
18/04/2018,Etsy,-1.124039993
18/04/2018,Ebay,-0.460420438
18/04/2018,Alibaba,0.1036031
18/04/2018,Amazon,-1.225722967
19/04/2018,Costco,-1.298390845
19/04/2018,T K Maxx,-1.736265394
19/04/2018,Gap,0.959297844
19/04/2018,Etsy,-1.126648
19/04/2018,Ebay,-0.433537306
19/04/2018,Alibaba,0.079975883
19/04/2018,Amazon,-1.184765697
20/04/2018,Costco,-1.310190652
20/04/2018,T K Maxx,-1.743589331
20/04/2018,Gap,0.817862271
20/04/2018,Etsy,-1.130023055
20/04/2018,Ebay,-0.426816296
20/04/2018,Alibaba,0.038215954
20/04/2018,Amazon,-1.226216141
23/04/2018,Costco,-1.311831263
23/04/2018,T K Maxx,-1.709258424
23/04/2018,Gap,0.861185148
23/04/2018,Etsy,-1.134318604
23/04/2018,Ebay,-0.47162212
23/04/2018,Alibaba,-0.026621742
23/04/2018,Amazon,-1.239784004
24/04/2018,Costco,-1.318395741
24/04/2018,T K Maxx,-1.715667149
24/04/2018,Gap,0.913427232
24/04/2018,Etsy,-1.145977926
24/04/2018,Ebay,-0.502986227
24/04/2018,Alibaba,-0.072045048
24/04/2018,Amazon,-1.321177209
25/04/2018,Costco,-1.306986628
25/04/2018,T K Maxx,-1.704680871
25/04/2018,Gap,1.00516874
25/04/2018,Etsy,-1.149659812
25/04/2018,Ebay,-0.518667979
25/04/2018,Alibaba,-0.124611213
25/04/2018,Amazon,-1.321064557
26/04/2018,Costco,-1.296906028
26/04/2018,T K Maxx,-1.623661452
26/04/2018,Gap,1.031927214
26/04/2018,Etsy,-1.137386828
26/04/2018,Ebay,-0.689676305
26/04/2018,Alibaba,-0.057209321
26/04/2018,Amazon,-1.239642974
27/04/2018,Costco,-1.286591292
27/04/2018,T K Maxx,-1.559578683
27/04/2018,Gap,1.068878905
27/04/2018,Etsy,-1.137847075
27/04/2018,Ebay,-0.723280748
27/04/2018,Alibaba,0.002500262
27/04/2018,Amazon,-1.162631576
30/04/2018,Costco,-1.282058755
30/04/2018,T K Maxx,-1.635104963
30/04/2018,Gap,0.91979842
30/04/2018,Etsy,-1.131096935
30/04/2018,Ebay,-0.749417202
30/04/2018,Alibaba,0.027775832
30/04/2018,Amazon,-1.171775281
01/05/2018,Costco,-1.286825938
01/05/2018,T K Maxx,-1.693695339
01/05/2018,Gap,0.870104355
01/05/2018,Etsy,-1.125267288
01/05/2018,Ebay,-0.75315029
01/05/2018,Alibaba,0.045359092
01/05/2018,Amazon,-1.149049524
02/05/2018,Costco,-1.306752237
02/05/2018,T K Maxx,-1.695526509
02/05/2018,Gap,0.904508026
02/05/2018,Etsy,-1.118363733
02/05/2018,Ebay,-0.801690109
02/05/2018,Alibaba,0.081074784
02/05/2018,Amazon,-1.166773675
03/05/2018,Costco,-1.314488034
03/05/2018,T K Maxx,-1.69415369
03/05/2018,Gap,0.887943622
03/05/2018,Etsy,-1.117136437
03/05/2018,Ebay,-0.767339592
03/05/2018,Alibaba,0.099390552
03/05/2018,Amazon,-1.163392405
04/05/2018,Costco,-1.297453153
04/05/2018,T K Maxx,-1.727568266
04/05/2018,Gap,0.863732882
04/05/2018,Etsy,-1.121125155
04/05/2018,Ebay,-0.740455554
04/05/2018,Alibaba,0.217344143
04/05/2018,Amazon,-1.150895163
07/05/2018,Costco,-1.314097722
07/05/2018,T K Maxx,-1.770595183
07/05/2018,Gap,0.80639476
07/05/2018,Etsy,-1.108391953
07/05/2018,Ebay,-0.755390627
07/05/2018,Alibaba,0.335664127
07/05/2018,Amazon,-1.123857899
08/05/2018,Costco,-1.303001598
08/05/2018,T K Maxx,-1.73901215
08/05/2018,Gap,0.853539666
08/05/2018,Etsy,-1.108391953
08/05/2018,Ebay,-0.732988168
08/05/2018,Alibaba,0.353247108
08/05/2018,Amazon,-1.134777158
09/05/2018,Costco,-1.290811223
09/05/2018,T K Maxx,-1.679048583
09/05/2018,Gap,0.915975251
09/05/2018,Etsy,-1.130329886
09/05/2018,Ebay,-0.723280748
09/05/2018,Alibaba,0.337129143
09/05/2018,Amazon,-1.112783852
10/05/2018,Costco,-1.290968163
10/05/2018,T K Maxx,-1.707427999
10/05/2018,Gap,0.863732882
10/05/2018,Etsy,-1.14122213
10/05/2018,Ebay,-0.703118022
10/05/2018,Alibaba,0.346836757
10/05/2018,Amazon,-1.111262194
11/05/2018,Costco,-1.288538139
11/05/2018,T K Maxx,-1.670808689
11/05/2018,Gap,0.913427232
11/05/2018,Etsy,-1.130023055
11/05/2018,Ebay,-0.72104011
11/05/2018,Alibaba,0.317531416
11/05/2018,Amazon,-1.119955292
14/05/2018,Costco,-1.2875979
14/05/2018,T K Maxx,-1.631901719
14/05/2018,Gap,1.065055736
14/05/2018,Etsy,-1.13907437
14/05/2018,Ebay,-0.711332992
14/05/2018,Alibaba,0.395922881
14/05/2018,Amazon,-1.12188542
15/05/2018,Costco,-1.290732753
15/05/2018,T K Maxx,-1.601232408
15/05/2018,Gap,1.164443866
15/05/2018,Etsy,-1.144136968
15/05/2018,Ebay,-0.734482129
15/05/2018,Alibaba,0.358741895
15/05/2018,Amazon,-1.15770027
16/05/2018,Costco,-1.265418899
16/05/2018,T K Maxx,-1.601692996
16/05/2018,Gap,1.21668538
16/05/2018,Etsy,-1.139381201
16/05/2018,Ebay,-0.7143191
16/05/2018,Alibaba,0.386215547
16/05/2018,Amazon,-1.141976761
17/05/2018,Costco,-1.258443981
17/05/2018,T K Maxx,-1.552029297
17/05/2018,Gap,1.193750074
17/05/2018,Etsy,-1.138307321
17/05/2018,Ebay,-0.710585105
17/05/2018,Alibaba,0.347935658
17/05/2018,Amazon,-1.149754027
18/05/2018,Costco,-1.26345995
18/05/2018,T K Maxx,-1.620084819
18/05/2018,Gap,1.21668538
18/05/2018,Etsy,-1.135699315
18/05/2018,Ebay,-0.716559134
18/05/2018,Alibaba,0.329253497
18/05/2018,Amazon,-1.160165923
21/05/2018,Costco,-1.25828755
21/05/2018,T K Maxx,-1.624224889
21/05/2018,Gap,1.233250353
21/05/2018,Etsy,-1.139381201
21/05/2018,Ebay,-0.718799471
21/05/2018,Alibaba,0.377607113
21/05/2018,Amazon,-1.144540877
22/05/2018,Costco,-1.263381607
22/05/2018,T K Maxx,-1.497769785
22/05/2018,Gap,1.239621541
22/05/2018,Etsy,-1.145671095
22/05/2018,Ebay,-0.757631568
22/05/2018,Alibaba,0.345188126
22/05/2018,Amazon,-1.150261175
23/05/2018,Costco,-1.269886087
23/05/2018,T K Maxx,-1.477536357
23/05/2018,Gap,1.268928034
23/05/2018,Etsy,-1.139688033
23/05/2018,Ebay,-0.737468841
23/05/2018,Alibaba,0.362221935
23/05/2018,Amazon,-1.121434598
24/05/2018,Costco,-1.264008476
24/05/2018,T K Maxx,-1.438451637
24/05/2018,Gap,1.392524909
24/05/2018,Etsy,-1.137847075
24/05/2018,Ebay,-0.756137305
24/05/2018,Alibaba,0.372661778
24/05/2018,Amazon,-1.119729774
25/05/2018,Costco,-1.268162293
25/05/2018,T K Maxx,-1.467420575
25/05/2018,Gap,0.780910581
25/05/2018,Etsy,-1.123426331
25/05/2018,Ebay,-0.744936529
25/05/2018,Alibaba,0.406179667
25/05/2018,Amazon,-1.109754726
29/05/2018,Costco,-1.280858265
29/05/2018,T K Maxx,-1.455465424
29/05/2018,Gap,0.798749563
29/05/2018,Etsy,-1.123886577
29/05/2018,Ebay,-0.775553051
29/05/2018,Alibaba,0.384200801
29/05/2018,Amazon,-1.105922419
30/05/2018,Costco,-1.258130737
30/05/2018,T K Maxx,-1.390628052
30/05/2018,Gap,0.873926383
30/05/2018,Etsy,-1.103943018
30/05/2018,Ebay,-0.751657841
30/05/2018,Alibaba,0.383834407
30/05/2018,Amazon,-1.088987259
31/05/2018,Costco,-1.26910266
31/05/2018,T K Maxx,-1.365796948
31/05/2018,Gap,0.759248714
31/05/2018,Etsy,-1.09427804
31/05/2018,Ebay,-0.761364958
31/05/2018,Alibaba,0.384383858
31/05/2018,Amazon,-1.082322966
01/06/2018,Costco,-1.277801754
01/06/2018,T K Maxx,-1.361198527
01/06/2018,Gap,0.884120739
01/06/2018,Etsy,-1.1053237
01/06/2018,Ebay,-0.71506608
01/06/2018,Alibaba,0.500322703
01/06/2018,Amazon,-1.065528621
04/06/2018,Costco,-1.266124492
04/06/2018,T K Maxx,-1.244861068
04/06/2018,Gap,0.913427232
04/06/2018,Etsy,-1.104556651
04/06/2018,Ebay,-0.660552232
04/06/2018,Alibaba,0.584758405
04/06/2018,Amazon,-1.03209515
05/06/2018,Costco,-1.272237259
05/06/2018,T K Maxx,-1.195198488
05/06/2018,Gap,1.16699217
05/06/2018,Etsy,-1.08538017
05/06/2018,Ebay,-0.5881169
05/06/2018,Alibaba,0.574135226
05/06/2018,Amazon,-0.988305894
06/06/2018,Costco,-1.273647936
06/06/2018,T K Maxx,-1.182782749
06/06/2018,Gap,1.155524375
06/06/2018,Etsy,-1.076789072
06/06/2018,Ebay,-0.594837305
06/06/2018,Alibaba,0.572853268
06/06/2018,Amazon,-0.989151211
07/06/2018,Costco,-1.235168309
07/06/2018,T K Maxx,-1.173586279
07/06/2018,Gap,1.212862782
07/06/2018,Etsy,-1.077556121
07/06/2018,Ebay,-0.557499169
07/06/2018,Alibaba,0.487135328
07/06/2018,Amazon,-0.998238805
08/06/2018,Costco,-1.225842347
08/06/2018,T K Maxx,-1.153352851
08/06/2018,Gap,1.238346961
08/06/2018,Etsy,-1.080317543
08/06/2018,Ebay,-0.569448134
