Ward Code,Ward Name,Time Period,Total Offenders,Total Offences,Latest Mid-Year Population Estimates (age 10-17 years),"Offenders (rate per 1,000)"
E05010901,Henbury and Brentry,2021/22,6,20,1169,5.132591959
E05010908,Lockleaze,2021/22,11,27,1497,7.348029392
E05010887,Bedminster,2016/17,5,13,656,7.62195122
E05010890,Brislington East,2016/17,7,21,877,7.981755986
E05010899,Frome Vale,2016/17,8,26,985,8.121827411
E05010900,Hartcliffe and Withywood,2016/17,32,52,1923,16.64066563
E05010904,Horfield,2016/17,8,33,893,8.958566629
E05010910,St George Central,2016/17,13,40,1097,11.85050137
E05010911,St George Troopers Hill,2016/17,2,2,435,4.597701149
E05010917,Westbury-on-Trym and Henleaze,2016/17,4,13,1894,2.111932418
E05010888,Bishopston and Ashley Down,2017/18,1,1,806,1.240694789
E05010898,Filwood,2017/18,36,114,1642,21.92448234
E05010899,Frome Vale,2017/18,3,5,987,3.039513678
E05010900,Hartcliffe and Withywood,2017/18,37,122,1966,18.81993896
E05010916,Stoke Bishop,2017/18,2,8,963,2.076843198
E05010918,Windmill Hill,2017/18,7,13,820,8.536585366
,Bristol,2017/18,308,931,36019,8.551042505
E05010885,Ashley,2018/19,6,11,1579,3.799873338
E05010896,Easton,2018/19,5,17,1050,4.761904762
E05010902,Hengrove and Whitchurch Park,2018/19,17,36,1413,12.03113942
E05010905,Hotwells and Harbourside,2018/19,6,9,148,40.54054054
E05010907,Lawrence Hill,2018/19,11,55,1739,6.325474411
E05010918,Windmill Hill,2018/19,7,11,820,8.536585366
,Bristol,2018/19,290,624,36019,8.051306255
E05010888,Bishopston and Ashley Down,2019/20,2,5,828,2.415458937
E05010890,Brislington East,2019/20,3,13,926,3.239740821
E05010903,Hillfields,2019/20,6,16,1368,4.385964912
E05010911,St George Troopers Hill,2019/20,3,3,434,6.912442396
,Bristol,2019/20,231,458,36871,6.265086382
E05010909,Redland,2020/21,0,0,1486,0
E05010918,Windmill Hill,2020/21,3,5,877,3.420752566
E05010895,Cotham,2021/22,0,0,560,0
E05010899,Frome Vale,2021/22,4,18,1051,3.805899144
E05010909,Redland,2021/22,0,0,1495,0
,Bristol,2021/22,171,348,38718,4.416550442
E05010886,Avonmouth and Lawrence Weston,2016/17,23,103,1915,12.01044386
E05010897,Eastville,2016/17,5,6,1217,4.108463435
E05010903,Hillfields,2016/17,14,53,1326,10.55806938
E05010918,Windmill Hill,2016/17,2,3,792,2.525252525
E05010889,Bishopsworth,2017/18,9,13,955,9.42408377
E05010896,Easton,2017/18,5,31,1050,4.761904762
E05010917,Westbury-on-Trym and Henleaze,2017/18,2,2,1930,1.03626943
E05010909,Redland,2018/19,0,0,1451,0
E05010915,Stockwood,2018/19,4,15,1014,3.944773176
E05010898,Filwood,2019/20,28,50,1693,16.53868872
E05010904,Horfield,2019/20,5,8,934,5.353319058
E05010910,St George Central,2019/20,14,27,1058,13.23251418
E05010912,St George West,2019/20,5,7,357,14.00560224
E05010913,Southmead,2019/20,8,10,1452,5.509641873
E05010900,Hartcliffe and Withywood,2020/21,19,66,2122,8.953817154
E05010902,Hengrove and Whitchurch Park,2020/21,6,26,1460,4.109589041
E05010891,Brislington West,2021/22,3,4,790,3.797468354
E05010892,Central,2021/22,3,4,561,5.347593583
E05010906,Knowle,2021/22,6,8,1391,4.313443566
E05010911,St George Troopers Hill,2021/22,2,7,460,4.347826087
